Model,Importance Type,Feature,Value
Logistic Regression,mean_absolute_coefficient,GradeID_G-12,0.01376443816996957
Logistic Regression,mean_absolute_coefficient,GradeID_G-07,0.013576189836644182
Logistic Regression,mean_absolute_coefficient,NationalITy_Tunis,0.012391461236078002
Logistic Regression,mean_absolute_coefficient,NationalITy_Jordan,0.012381669075784656
Logistic Regression,mean_absolute_coefficient,SectionID_A,0.010639771402341458
Logistic Regression,mean_absolute_coefficient,Semester_S,0.010574234650833068
Logistic Regression,mean_absolute_coefficient,Semester_F,0.010574234650833063
Logistic Regression,mean_absolute_coefficient,NationalITy_Morocco,0.010085338233119598
Logistic Regression,mean_absolute_coefficient,PlaceofBirth_Morocco,0.010085338233119598
Logistic Regression,mean_absolute_coefficient,StageID_HighSchool,0.007720559222036228
Logistic Regression,mean_absolute_coefficient,NationalITy_Syria,0.007661259141820563
Logistic Regression,mean_absolute_coefficient,PlaceofBirth_Syria,0.007661259141820563
Random Forest,feature_importance,VisITedResources,0.12338430135293245
Random Forest,feature_importance,raisedhands,0.11632346930808152
Random Forest,feature_importance,StudentAbsenceDays_Above-7,0.10659994375642107
Random Forest,feature_importance,AnnouncementsView,0.09221158265348582
Random Forest,feature_importance,StudentAbsenceDays_Under-7,0.09165822001487908
Random Forest,feature_importance,Discussion,0.061517376160177335
Random Forest,feature_importance,Relation_Father,0.03138011972562734
Random Forest,feature_importance,Relation_Mum,0.0311832581218488
Random Forest,feature_importance,ParentAnsweringSurvey_No,0.030925982213787038
Random Forest,feature_importance,ParentAnsweringSurvey_Yes,0.030336205640399516
Random Forest,feature_importance,ParentschoolSatisfaction_Bad,0.022331769382120416
Random Forest,feature_importance,ParentschoolSatisfaction_Good,0.0203954060227467
Random Forest,feature_importance,gender_F,0.0159235545491868
Random Forest,feature_importance,gender_M,0.015139472460417195
Random Forest,feature_importance,PlaceofBirth_Jordan,0.012036029611935702
Random Forest,feature_importance,PlaceofBirth_KuwaIT,0.011748461747538734
Random Forest,feature_importance,NationalITy_Jordan,0.010698053092319039
Random Forest,feature_importance,NationalITy_KW,0.010113326649833245
Random Forest,feature_importance,SectionID_B,0.008727667499510967
Random Forest,feature_importance,Topic_IT,0.008678452897475543
Random Forest,feature_importance,GradeID_G-02,0.008564583361085187
Random Forest,feature_importance,GradeID_G-08,0.008320339046724455
Random Forest,feature_importance,StageID_lowerlevel,0.008075870470969193
Random Forest,feature_importance,SectionID_A,0.007371747768052932
Random Forest,feature_importance,StageID_MiddleSchool,0.007280342369830567
Random Forest,feature_importance,Semester_S,0.006752630359569409
Random Forest,feature_importance,Topic_Biology,0.006527964594912327
Random Forest,feature_importance,Topic_Geology,0.006341464316085247
Random Forest,feature_importance,Semester_F,0.0062292908950900075
Random Forest,feature_importance,GradeID_G-07,0.005793799696429431
Random Forest,feature_importance,Topic_Arabic,0.005617844426717519
Random Forest,feature_importance,Topic_French,0.004799269488288402
Random Forest,feature_importance,GradeID_G-04,0.004429122342098532
Random Forest,feature_importance,Topic_English,0.004378816561824639
Random Forest,feature_importance,GradeID_G-06,0.004299822545967165
Random Forest,feature_importance,Topic_Science,0.003941788304936317
Random Forest,feature_importance,Topic_Chemistry,0.0036318988385726264
Random Forest,feature_importance,PlaceofBirth_Iraq,0.0034285250184002253
Random Forest,feature_importance,NationalITy_Palestine,0.0033927943213503987
Random Forest,feature_importance,NationalITy_Iraq,0.003184871820633642
Random Forest,feature_importance,PlaceofBirth_lebanon,0.002877607375694279
Random Forest,feature_importance,SectionID_C,0.0026403420614611478
Random Forest,feature_importance,Topic_History,0.0026325175912022703
Random Forest,feature_importance,Topic_Math,0.0023873538998193462
Random Forest,feature_importance,Topic_Spanish,0.002382184107378551
Random Forest,feature_importance,StageID_HighSchool,0.0021178969533641413
Random Forest,feature_importance,PlaceofBirth_SaudiArabia,0.0019297256638437482
Random Forest,feature_importance,NationalITy_Lybia,0.0018475764296554387
Random Forest,feature_importance,Topic_Quran,0.0016601432876941467
Random Forest,feature_importance,NationalITy_SaudiArabia,0.0016532035055991693
Random Forest,feature_importance,PlaceofBirth_Lybia,0.0016376447584408769
Random Forest,feature_importance,NationalITy_lebanon,0.0015659976890632396
Random Forest,feature_importance,GradeID_G-11,0.0012143214944420981
Random Forest,feature_importance,PlaceofBirth_USA,0.0011925183040705156
Random Forest,feature_importance,NationalITy_Tunis,0.001140939509697762
Random Forest,feature_importance,PlaceofBirth_Tunis,0.0010375859707266518
Random Forest,feature_importance,PlaceofBirth_Palestine,0.0009864712737532547
Random Forest,feature_importance,GradeID_G-09,0.0008488349770231178
Random Forest,feature_importance,PlaceofBirth_Iran,0.0007114258401640734
Random Forest,feature_importance,NationalITy_Iran,0.0005554204904762122
Random Forest,feature_importance,PlaceofBirth_Morocco,0.0005053612461482313
Random Forest,feature_importance,GradeID_G-12,0.00047113006734550054
Random Forest,feature_importance,PlaceofBirth_Egypt,0.0004421930485165579
Random Forest,feature_importance,NationalITy_Egypt,0.0003575579625560715
Random Forest,feature_importance,PlaceofBirth_Syria,0.0003521574005701523
Random Forest,feature_importance,NationalITy_Syria,0.0003349077514071808
Random Forest,feature_importance,NationalITy_Morocco,0.00030533685223945497
Random Forest,feature_importance,GradeID_G-05,0.0002827429293055891
Random Forest,feature_importance,NationalITy_USA,0.00015115600043846692
Random Forest,feature_importance,GradeID_G-10,0.00010230614964024322
Random Forest,feature_importance,NationalITy_venzuela,0.0
Random Forest,feature_importance,PlaceofBirth_venzuela,0.0
